Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
5000.0,2015-04-15,moving,,2.8%,460xx,IN,< 1 year,0.0
6000.0,2016-12-29,debt_consolidation,,11.07%,594xx,MT,< 1 year,0.0
10000.0,2016-09-20,debt_consolidation,,26.25%,315xx,GA,< 1 year,0.0
25000.0,2016-05-04,debt_consolidation,,16.14%,895xx,NV,< 1 year,0.0
8000.0,2015-05-13,debt_consolidation,,8.43%,453xx,OH,< 1 year,0.0
2500.0,2016-09-23,other,,12.6%,780xx,TX,5 years,0.0
7500.0,2018-09-27,Debt consolidation,,100%,805xx,CO,,0.0
20000.0,2016-02-11,credit_card,,60.86%,070xx,NJ,5 years,0.0
9000.0,2017-06-28,Car financing,770.0,100%,482xx,MI,< 1 year,0.0
1500.0,2015-05-29,other,,31.02%,273xx,NC,< 1 year,0.0
20000.0,2017-04-01,Home improvement,,-1%,750xx,TX,< 1 year,0.0
6000.0,2014-10-12,other,587.0,3.31%,335xx,FL,< 1 year,0.0
25000.0,2013-11-12,small_business,713.0,4.29%,925xx,CA,< 1 year,0.0
20000.0,2017-08-29,Major purchase,653.0,8.64%,365xx,AL,< 1 year,0.0
30000.0,2016-09-29,debt_consolidation,,17.46%,750xx,TX,,0.0
5000.0,2018-02-19,Debt consolidation,,20.8%,366xx,AL,< 1 year,0.0
15000.0,2015-10-28,debt_consolidation,,39.35%,015xx,MA,,0.0
1000.0,2018-09-18,Other,,12.05%,143xx,NY,< 1 year,0.0
1000.0,2015-12-20,car,,26.23%,015xx,MA,5 years,0.0
10000.0,2018-10-15,Credit card refinancing,,14.64%,923xx,CA,< 1 year,0.0
2000.0,2018-07-30,Debt consolidation,,55.65%,295xx,SC,< 1 year,0.0
1000.0,2017-11-26,Other,501.0,25.77%,759xx,TX,< 1 year,0.0
9000.0,2018-07-02,Other,,0%,473xx,IN,< 1 year,0.0
40000.0,2017-11-16,Other,726.0,34.88%,387xx,MS,< 1 year,0.0
35000.0,2015-01-04,credit_card,501.0,254.65%,933xx,CA,< 1 year,0.0
33000.0,2018-06-10,Other,,101.82%,760xx,TX,< 1 year,0.0
18000.0,2013-06-10,swimming pool,718.0,22.43%,322xx,FL,< 1 year,0.0
30000.0,2018-11-26,Car financing,,9.78%,023xx,MA,< 1 year,0.0
10000.0,2018-08-03,Debt consolidation,,180.67%,631xx,MO,< 1 year,0.0
12000.0,2017-09-04,Debt consolidation,603.0,8.33%,389xx,MS,10+ years,0.0
15000.0,2014-09-29,debt_consolidation,702.0,42.66%,780xx,TX,< 1 year,0.0
3000.0,2017-10-01,other,,17.58%,462xx,IN,< 1 year,0.0
5000.0,2013-03-26,payoffdebt,671.0,30.86%,383xx,TN,,0.0
20000.0,2018-11-20,Debt consolidation,,29.39%,226xx,VA,< 1 year,0.0
1500.0,2017-09-10,other,,621.21%,401xx,KY,< 1 year,0.0
4000.0,2017-06-24,debt_consolidation,,3.46%,531xx,WI,< 1 year,0.0
10000.0,2018-10-18,Credit card refinancing,,13.49%,782xx,TX,< 1 year,0.0
2500.0,2018-12-10,Credit card refinancing,,11.39%,906xx,CA,< 1 year,0.0
10000.0,2018-08-13,Credit card refinancing,,46.83%,601xx,IL,< 1 year,0.0
1000.0,2017-11-13,Moving and relocation,525.0,1.65%,439xx,OH,< 1 year,0.0
25000.0,2016-02-28,debt_consolidation,,-1%,708xx,LA,< 1 year,0.0
15000.0,2017-05-01,Vacation,674.0,15.37%,967xx,HI,4 years,0.0
25000.0,2017-11-21,Business Loan,,-1%,606xx,IL,< 1 year,0.0
11000.0,2016-01-30,credit_card,735.0,26.67%,333xx,FL,< 1 year,0.0
3000.0,2018-11-05,Debt consolidation,,11.12%,902xx,CA,< 1 year,0.0
5000.0,2017-05-23,other,,37.95%,716xx,AR,5 years,0.0
10000.0,2018-03-07,Debt consolidation,,10.42%,975xx,OR,< 1 year,0.0
9000.0,2016-11-21,debt_consolidation,,95.25%,983xx,WA,,0.0
15000.0,2016-09-20,debt_consolidation,,33.14%,451xx,OH,< 1 year,0.0
1000.0,2017-12-10,Home buying,602.0,44.69%,760xx,TX,< 1 year,0.0
5000.0,2018-01-29,Other,,2.27%,040xx,ME,< 1 year,0.0
10000.0,2011-08-02,home_improvement,491.0,13.26%,611xx,IL,< 1 year,0.0
6000.0,2018-11-21,Debt consolidation,,10.43%,483xx,MI,< 1 year,0.0
2000.0,2018-08-04,Green loan,,2.75%,729xx,AR,< 1 year,0.0
15000.0,2012-10-29,debt_consolidation,598.0,26.5%,159xx,PA,< 1 year,0.0
10000.0,2018-10-30,Credit card refinancing,,14.07%,254xx,WV,< 1 year,0.0
10000.0,2018-02-26,Major purchase,,12.71%,210xx,MD,< 1 year,0.0
1000.0,2017-02-22,Business,,100%,001xx,NY,< 1 year,0.0
40000.0,2017-08-04,Home buying,629.0,-1%,347xx,FL,< 1 year,0.0
10000.0,2014-05-27,debt_consolidation,616.0,22.5%,275xx,NC,< 1 year,0.0
25000.0,2016-11-27,home_improvement,,0.55%,194xx,PA,< 1 year,0.0
31650.0,2017-07-07,debt_consolidation,,16.01%,984xx,WA,< 1 year,0.0
1000.0,2016-12-21,credit_card,,2.91%,996xx,AK,< 1 year,0.0
15000.0,2017-11-07,Debt consolidation,700.0,38.02%,180xx,PA,< 1 year,0.0
2000.0,2018-03-15,Car financing,,11.93%,010xx,MA,< 1 year,0.0
15000.0,2017-09-20,debt_consolidation,,3.84%,926xx,CA,< 1 year,0.0
7000.0,2014-07-26,debt_consolidation,630.0,32.41%,347xx,FL,< 1 year,0.0
12000.0,2015-07-21,Debt consolidation,,6%,622xx,IL,10+ years,0.0
15000.0,2015-02-05,Business Loan,,-1%,111xx,NY,< 1 year,0.0
2000.0,2017-11-30,Debt consolidation,606.0,2.93%,913xx,CA,< 1 year,0.0
1500.0,2016-09-20,Home buying,623.0,58.63%,286xx,NC,< 1 year,0.0
15000.0,2016-10-04,Credit card refinancing,676.0,5.96%,112xx,NY,< 1 year,0.0
35000.0,2015-10-28,home_improvement,,14.66%,040xx,ME,< 1 year,0.0
11000.0,2015-12-03,debt_consolidation,,18.82%,112xx,NY,< 1 year,0.0
10000.0,2018-10-06,Business,581.0,0%,801xx,CO,< 1 year,0.0
18000.0,2013-05-09,other,656.0,4.11%,926xx,CA,< 1 year,0.0
6000.0,2015-11-24,debt_consolidation,,21.52%,945xx,CA,< 1 year,0.0
5000.0,2018-07-18,Debt consolidation,,9.2%,221xx,VA,< 1 year,0.0
6000.0,2018-05-02,Debt consolidation,,11.03%,390xx,MS,< 1 year,0.0
3500.0,2018-04-04,Other,564.0,0.61%,247xx,WV,< 1 year,0.0
3000.0,2017-08-19,debt_consolidation,,15.63%,945xx,CA,< 1 year,0.0
15000.0,2015-11-11,credit_card,,-1%,754xx,TX,< 1 year,0.0
15000.0,2017-12-09,Debt consolidation,605.0,10.27%,770xx,TX,< 1 year,0.0
2500.0,2016-02-25,home_improvement,,10.34%,799xx,TX,< 1 year,0.0
4000.0,2017-02-01,Debt consolidation,643.0,34.96%,957xx,CA,< 1 year,0.0
5000.0,2018-02-26,Medical expenses,,100%,925xx,CA,< 1 year,0.0
10000.0,2017-08-18,credit_card,,37.34%,114xx,NY,5 years,0.0
5000.0,2018-03-08,Credit card refinancing,,21.73%,026xx,MA,< 1 year,0.0
3500.0,2018-08-20,Debt consolidation,,43.97%,308xx,GA,< 1 year,0.0
5000.0,2018-07-12,Other,,7.15%,082xx,NJ,< 1 year,0.0
4000.0,2017-10-30,Other,711.0,55.75%,282xx,NC,< 1 year,0.0
35000.0,2014-10-24,other,785.0,841.34%,940xx,CA,< 1 year,0.0
35000.0,2018-01-23,Debt consolidation,,24.23%,806xx,CO,< 1 year,0.0
14000.0,2018-09-15,Debt consolidation,,28.04%,741xx,OK,< 1 year,0.0
1200.0,2018-08-25,Credit card refinancing,,0.45%,065xx,CT,< 1 year,0.0
1000.0,2014-04-29,small_business,598.0,0%,336xx,FL,< 1 year,0.0
3000.0,2014-07-25,debt_consolidation,594.0,13.69%,903xx,CA,< 1 year,0.0
6000.0,2013-09-19,debt_consolidation,641.0,25.66%,432xx,OH,5 years,0.0
1500.0,2015-05-14,other,,10.36%,787xx,TX,< 1 year,0.0
15000.0,2015-07-28,Business Loan,,-1%,786xx,TX,< 1 year,0.0
5000.0,2017-02-01,debt_consolidation,,32.16%,919xx,CA,< 1 year,0.0
30000.0,2018-08-07,Other,,11.03%,925xx,CA,< 1 year,0.0
16000.0,2017-05-08,major_purchase,,0%,307xx,GA,5 years,0.0
40000.0,2017-10-12,Credit card refinancing,768.0,41.28%,660xx,KS,< 1 year,0.0
10000.0,2018-12-31,Credit card refinancing,,24.9%,934xx,CA,< 1 year,0.0
22350.0,2017-11-13,Credit card refinancing,664.0,21.95%,347xx,FL,< 1 year,0.0
4000.0,2012-10-19,other,0.0,0%,967xx,HI,< 1 year,0.0
3000.0,2016-11-01,Debt consolidation,590.0,346.78%,900xx,CA,< 1 year,0.0
10000.0,2017-01-24,Debt consolidation,751.0,3.64%,070xx,NJ,< 1 year,0.0
1000.0,2013-03-18,small_business,632.0,1.63%,956xx,CA,< 1 year,0.0
38000.0,2017-07-25,Debt consolidation,620.0,39.34%,145xx,NY,< 1 year,0.0
2500.0,2018-05-29,Moving and relocation,,42.21%,773xx,TX,< 1 year,0.0
7000.0,2016-08-02,home_improvement,,36.39%,490xx,MI,< 1 year,0.0
35000.0,2016-08-10,debt_consolidation,,36.85%,103xx,NY,< 1 year,0.0
3000.0,2014-07-24,debt_consolidation,578.0,15.03%,335xx,FL,< 1 year,0.0
10000.0,2016-08-09,debt_consolidation,,44.95%,891xx,NV,< 1 year,0.0
2500.0,2017-02-09,moving,587.0,41.92%,452xx,OH,< 1 year,0.0
35000.0,2014-12-07,home_improvement,627.0,0%,954xx,CA,< 1 year,0.0
10000.0,2018-08-14,Moving and relocation,,15.81%,606xx,IL,< 1 year,0.0
35000.0,2018-10-09,Credit card refinancing,,100%,191xx,PA,< 1 year,0.0
20000.0,2014-01-24,debt_consolidation,695.0,30.92%,309xx,GA,< 1 year,0.0
4000.0,2018-12-10,Debt consolidation,,15.34%,339xx,FL,< 1 year,0.0
5000.0,2017-10-10,Credit card refinancing,,100%,775xx,TX,< 1 year,0.0
30000.0,2015-03-14,debt_consolidation,651.0,62.12%,331xx,FL,< 1 year,0.0
5500.0,2017-02-28,Debt consolidation,629.0,14.14%,917xx,CA,< 1 year,0.0
1000.0,2018-05-06,Debt consolidation,,13.42%,986xx,WA,< 1 year,0.0
12000.0,2016-12-06,home_improvement,,30.3%,070xx,NJ,< 1 year,0.0
13000.0,2018-07-31,Credit card refinancing,,20.33%,902xx,CA,< 1 year,0.0
10000.0,2016-09-08,credit_card,,32.31%,777xx,TX,5 years,0.0
2500.0,2018-08-01,Other,,14.78%,264xx,WV,< 1 year,0.0
8000.0,2017-12-07,Home improvement,600.0,33.37%,799xx,TX,< 1 year,0.0
1000.0,2017-07-13,Other,652.0,5.72%,234xx,VA,< 1 year,0.0
10000.0,2017-10-31,Other,684.0,150.13%,989xx,WA,< 1 year,0.0
10000.0,2018-05-14,Credit card refinancing,,13.81%,027xx,MA,< 1 year,0.0
35000.0,2016-02-07,debt_consolidation,,15.74%,953xx,CA,< 1 year,0.0
40000.0,2017-10-24,Debt consolidation,623.0,54.09%,735xx,OK,< 1 year,0.0
20000.0,2016-11-03,Debt consolidation,641.0,43.4%,799xx,TX,< 1 year,0.0
3000.0,2018-03-05,Debt consolidation,,3.4%,200xx,DC,< 1 year,0.0
10000.0,2017-02-01,other,,12.31%,802xx,CO,5 years,0.0
15000.0,2018-03-10,Debt consolidation,,44.07%,292xx,SC,< 1 year,0.0
35000.0,2015-02-26,debt_consolidation,671.0,7.95%,490xx,MI,< 1 year,0.0
1000.0,2015-03-20,moving,,0%,672xx,KS,< 1 year,0.0
18000.0,2011-06-11,home_improvement,575.0,11.9%,851xx,AZ,< 1 year,0.0
3000.0,2015-10-26,other,,2.36%,104xx,NY,< 1 year,0.0
17000.0,2013-09-25,credit_card,670.0,25.23%,956xx,CA,< 1 year,0.0
8500.0,2015-05-29,medical,,-1%,802xx,CO,< 1 year,0.0
3000.0,2010-11-05,credit_card,722.0,5.74%,986xx,WA,< 1 year,0.0
10000.0,2018-08-07,Home buying,,39.97%,799xx,TX,< 1 year,0.0
2000.0,2017-05-27,car,,11.52%,972xx,OR,5 years,0.0
30000.0,2018-10-29,Debt consolidation,,3.15%,971xx,CA,< 1 year,0.0
20000.0,2018-11-26,Debt consolidation,,45.43%,301xx,GA,< 1 year,0.0
35000.0,2018-08-20,Debt consolidation,,42.18%,315xx,GA,< 1 year,0.0
10000.0,2018-12-10,Debt consolidation,,4.32%,212xx,MD,< 1 year,0.0
8800.0,2018-07-12,Debt consolidation,,100%,618xx,IL,< 1 year,0.0
3000.0,2017-05-09,Debt consolidation,631.0,18.11%,122xx,NY,< 1 year,0.0
6500.0,2018-03-23,Medical expenses,,59.3%,765xx,TX,< 1 year,0.0
5000.0,2018-11-06,Other,,8.26%,995xx,AK,< 1 year,0.0
30000.0,2016-01-05,debt_consolidation,,33.31%,100xx,NY,< 1 year,0.0
25000.0,2018-08-01,Other,,11.96%,333xx,FL,< 1 year,0.0
15000.0,2017-06-06,Debt consolidation,580.0,10.83%,207xx,MD,< 1 year,0.0
9000.0,2018-01-14,Debt consolidation,642.0,10.86%,327xx,FL,< 1 year,0.0
5000.0,2018-12-07,Other,,2.67%,641xx,MO,,0.0
1000.0,2013-07-26,debt_consolidation,845.0,2.43%,907xx,CA,< 1 year,0.0
6000.0,2017-07-06,debt_consolidation,,15.01%,377xx,TN,,0.0
13000.0,2018-08-19,Debt consolidation,,100%,337xx,FL,< 1 year,0.0
25000.0,2018-04-16,Debt consolidation,,45.05%,473xx,IN,< 1 year,0.0
20000.0,2014-12-17,other,670.0,20.82%,104xx,NY,10+ years,0.0
6500.0,2017-06-08,debt_consolidation,,-1%,852xx,AZ,5 years,0.0
35000.0,2015-08-28,other,,2.66%,958xx,CA,< 1 year,0.0
9500.0,2018-09-12,Debt consolidation,,33.2%,844xx,UT,< 1 year,0.0
13000.0,2017-11-28,Debt consolidation,,100%,975xx,OR,< 1 year,0.0
20000.0,2018-01-03,Debt consolidation,700.0,70.5%,590xx,MT,< 1 year,0.0
10000.0,2014-06-04,debt_consolidation,699.0,1.76%,060xx,CT,< 1 year,0.0
21000.0,2015-06-21,debt_consolidation,,-1%,069xx,CT,< 1 year,0.0
30000.0,2018-04-09,Moving and relocation,,26.25%,930xx,MO,< 1 year,0.0
11200.0,2018-06-15,Debt consolidation,,22.09%,347xx,FL,,0.0
50000.0,2016-11-12,Business Loan,,-1%,330xx,FL,< 1 year,0.0
30000.0,2018-07-16,Debt consolidation,,45.93%,797xx,TX,< 1 year,0.0
8000.0,2018-02-13,Debt consolidation,,47.6%,852xx,AZ,< 1 year,0.0
20000.0,2015-02-01,debt_consolidation,659.0,22.34%,413xx,KY,< 1 year,0.0
15000.0,2017-06-22,debt_consolidation,,54.25%,955xx,CA,< 1 year,0.0
2500.0,2018-03-19,Debt consolidation,,10.37%,857xx,AZ,< 1 year,0.0
10000.0,2018-08-31,Credit card refinancing,,44.59%,293xx,SC,< 1 year,0.0
15000.0,2015-06-10,car,,74.55%,980xx,WA,< 1 year,0.0
20000.0,2018-08-20,Debt consolidation,,13.61%,307xx,GA,< 1 year,0.0
4000.0,2018-12-18,Debt consolidation,,17.52%,809xx,CO,< 1 year,0.0
15000.0,2016-09-07,debt_consolidation,,41.83%,800xx,CO,5 years,0.0
5000.0,2016-04-15,credit_card,,18.6%,330xx,FL,5 years,0.0
10000.0,2018-06-18,Debt consolidation,,16.87%,405xx,KY,< 1 year,0.0
20000.0,2017-09-30,Other,573.0,0%,972xx,OR,< 1 year,0.0
4000.0,2015-09-22,small_business,,-1%,930xx,CA,< 1 year,0.0
30000.0,2017-05-24,debt_consolidation,,10.1%,245xx,VA,< 1 year,0.0
1000.0,2014-08-18,major_purchase,561.0,30.85%,110xx,NY,< 1 year,0.0
15000.0,2018-07-30,Credit card refinancing,,71.87%,358xx,AL,< 1 year,0.0
4000.0,2014-10-31,debt_consolidation,589.0,22.32%,770xx,TX,< 1 year,0.0
20000.0,2015-02-22,home_improvement,621.0,7.87%,917xx,CA,< 1 year,0.0
1000.0,2016-04-19,other,,23.51%,997xx,AK,5 years,0.0
2800.0,2018-09-07,Car financing,,14.25%,030xx,NH,< 1 year,0.0
30000.0,2017-12-04,Debt consolidation,644.0,18.04%,989xx,WA,< 1 year,0.0
3000.0,2014-08-01,other,,-1%,070xx,NJ,< 1 year,0.0
10000.0,2017-01-12,debt_consolidation,,28.21%,759xx,TX,< 1 year,0.0
7000.0,2017-01-21,Debt consolidation,620.0,12.27%,750xx,TX,< 1 year,0.0
7000.0,2018-07-10,Credit card refinancing,,11.93%,207xx,MD,< 1 year,0.0
1500.0,2013-05-20,debt_consolidation,634.0,11.07%,925xx,CA,10+ years,0.0
24000.0,2015-12-21,debt_consolidation,,41.33%,327xx,FL,,0.0
10000.0,2018-05-01,Debt consolidation,,19.16%,745xx,OK,< 1 year,0.0
5000.0,2017-10-18,Debt consolidation,542.0,10.74%,460xx,IN,< 1 year,0.0
5500.0,2013-05-16,credit_card,592.0,8.31%,103xx,NY,< 1 year,0.0
2500.0,2018-03-04,Debt consolidation,,1.88%,431xx,OH,< 1 year,0.0
6000.0,2018-12-21,Credit card refinancing,,288.33%,333xx,FL,< 1 year,0.0
21000.0,2018-08-28,Credit card refinancing,,100%,967xx,HI,< 1 year,0.0
15000.0,2016-12-12,Home improvement,686.0,22.09%,774xx,TX,< 1 year,0.0
4000.0,2017-04-20,other,,14.97%,953xx,CA,5 years,0.0
5000.0,2015-08-31,other,,6.5%,170xx,PA,< 1 year,0.0
17500.0,2018-11-05,Credit card refinancing,,12.95%,370xx,TN,< 1 year,0.0
10000.0,2018-01-06,Other,727.0,17.76%,740xx,OK,< 1 year,0.0
4000.0,2015-08-31,moving,,0.12%,300xx,GA,< 1 year,0.0
5000.0,2017-11-09,Debt consolidation,671.0,22.14%,170xx,PA,1 year,0.0
1000.0,2018-07-18,Moving and relocation,,268.46%,291xx,SC,< 1 year,0.0
10000.0,2018-02-22,Other,,2.83%,775xx,TX,< 1 year,0.0
1000.0,2015-10-05,debt_consolidation,,38.38%,463xx,IN,< 1 year,0.0
10000.0,2018-04-24,Debt consolidation,,29.83%,850xx,AZ,< 1 year,0.0
18000.0,2016-06-27,Business Loan,,-1%,301xx,GA,< 1 year,0.0
15000.0,2016-01-05,credit_card,,58.52%,560xx,MN,5 years,0.0
5000.0,2018-08-06,Debt consolidation,,25.31%,983xx,WA,< 1 year,0.0
6000.0,2018-08-21,Credit card refinancing,,37.52%,902xx,CA,< 1 year,0.0
10000.0,2015-11-18,debt_consolidation,,11.3%,605xx,IL,< 1 year,0.0
8000.0,2017-01-25,Debt consolidation,662.0,3.14%,112xx,NY,< 1 year,0.0
20000.0,2018-07-31,Debt consolidation,,31.57%,840xx,UT,< 1 year,0.0
20000.0,2016-08-11,debt_consolidation,,0.37%,760xx,TX,< 1 year,0.0
2500.0,2016-11-25,other,,5.7%,810xx,CO,5 years,0.0
3500.0,2010-12-07,credit_card,683.0,30.81%,187xx,PA,< 1 year,0.0
30000.0,2018-10-21,Credit card refinancing,,100%,128xx,NY,< 1 year,0.0
10000.0,2016-06-13,debt_consolidation,,24.43%,852xx,AZ,< 1 year,0.0
24000.0,2016-05-16,debt_consolidation,,-1%,140xx,NY,< 1 year,0.0
5000.0,2017-12-12,Credit card refinancing,662.0,97.99%,780xx,TX,,0.0
10000.0,2018-01-06,Credit card refinancing,639.0,33.94%,571xx,SD,< 1 year,0.0
6000.0,2017-11-28,Credit card refinancing,715.0,25.54%,535xx,WI,1 year,0.0
1000.0,2013-04-29,other,516.0,26.25%,451xx,OH,< 1 year,0.0
15000.0,2018-12-11,Home buying,,13.72%,331xx,FL,< 1 year,0.0
10000.0,2015-07-14,home_improvement,,31.65%,811xx,CO,< 1 year,0.0
15000.0,2017-06-19,debt_consolidation,,69.39%,271xx,NC,5 years,0.0
3000.0,2014-05-03,credit_card,754.0,11.85%,144xx,NY,< 1 year,0.0
